,assists,goals,h_a,id,key_passes,match_id,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card
5431,0,0,h,372739,0,11840,0,Stuart Armstrong,6893,Sub,17,0,0,372732,0,74,21,0,0,0.09938175231218338,0.09938175231218338,0
5432,0,0,h,372738,1,11840,0,Moussa Djenepo,7701,Sub,17,0,0,372737,1,74,26,0.08542650192975998,0.06319887936115265,0.013955249451100826,0.16258063912391663,0
5433,0,0,a,372740,0,11840,0,Vicente Guaita,2190,GK,1,0,0,0,0,78,90,0,0,0,0,0
5434,0,0,a,372741,0,11840,0,Martin Kelly,525,DR,2,0,0,0,1,78,90,0,0.024735169485211372,0,0.024735169485211372,0
5435,0,0,a,372742,0,11840,0,Mamadou Sakho,485,DC,3,0,0,0,0,78,90,0,0,0,0,0
5436,0,1,a,372743,0,11840,0,James Tomkins,530,DC,3,0,0,0,2,78,90,0,0.06029122322797775,0,0,0
5437,0,0,a,372744,0,11840,0,Jairo Riedewald,6027,DL,4,0,0,0,0,78,90,0,0,0.024735169485211372,0.024735169485211372,0
5438,0,0,a,372745,0,11840,0,Max Meyer,338,MR,8,0,372751,0,0,78,85,0,0,0,0,0
5439,0,0,a,372748,0,11840,0,James McArthur,633,MC,9,0,0,0,0,78,90,0,0,0.03763863816857338,0.03763863816857338,1
5440,0,0,a,372746,0,11840,0,James McCarthy,589,MC,9,0,0,0,0,78,90,0,0,0.03763863816857338,0.03763863816857338,0
5441,1,0,a,372747,2,11840,0,Luka Milivojevic,5549,MC,9,0,0,0,1,78,90,0.06029122322797775,0.015172028914093971,0.03763863816857338,0.0528106652200222,1
5442,0,0,a,372749,1,11840,0,Wilfried Zaha,522,ML,10,0,0,0,0,78,90,0.024735169485211372,0,0,0.024735169485211372,0
5443,0,0,a,372750,0,11840,0,Jordan Ayew,672,FW,15,0,0,0,1,78,90,0,0.03763863816857338,0,0.03763863816857338,0
5444,0,0,a,372751,0,11840,0,Cheikhou Kouyaté,532,Sub,17,0,0,372745,0,78,5,0,0,0,0,0
5445,0,0,h,372752,0,11841,0,Ben Foster,803,GK,1,0,0,0,0,90,90,0,0,0,0,0
5446,0,0,h,372753,0,11841,0,Adrian Mariappa,524,DR,2,1,0,0,1,90,60,0,0.08090360462665558,0.012138559482991695,0.09304216504096985,0
5447,0,0,h,372754,0,11841,0,Christian Kabasele,1725,DC,3,0,0,0,1,90,90,0,0.3911735415458679,0.08943913131952286,0.08943913131952286,0
